ArbitrageEntry(bid=PriceVolume(price=26.8664, volume=0.28), ask=PriceVolume(price=26.866, volume=0.28), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:06:44')
ArbitrageEntry(bid=PriceVolume(price=26.8664, volume=0.28), ask=PriceVolume(price=26.866, volume=0.28), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:06:44')
ArbitrageEntry(bid=PriceVolume(price=26.8694, volume=2.96), ask=PriceVolume(price=26.868, volume=2.96), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:06:48')
ArbitrageEntry(bid=PriceVolume(price=26.8694, volume=2.96), ask=PriceVolume(price=26.868, volume=2.96), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:06:48')
ArbitrageEntry(bid=PriceVolume(price=26.8694, volume=2.96), ask=PriceVolume(price=26.868, volume=2.96), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:06:48')
ArbitrageEntry(bid=PriceVolume(price=26.8694, volume=2.96), ask=PriceVolume(price=26.868, volume=2.96), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:06:49')
ArbitrageEntry(bid=PriceVolume(price=26.8694, volume=2.96), ask=PriceVolume(price=26.868, volume=2.96), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:06:49')
ArbitrageEntry(bid=PriceVolume(price=26.8694, volume=2.96), ask=PriceVolume(price=26.868, volume=2.96), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:06:49')
ArbitrageEntry(bid=PriceVolume(price=26.83, volume=0.034), ask=PriceVolume(price=26.826, volume=0.034), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:25')
ArbitrageEntry(bid=PriceVolume(price=26.8301, volume=22.37), ask=PriceVolume(price=26.83, volume=22.37), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:30')
ArbitrageEntry(bid=PriceVolume(price=26.8303, volume=1.246), ask=PriceVolume(price=26.829, volume=1.246), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:31')
ArbitrageEntry(bid=PriceVolume(price=26.8271, volume=1.54), ask=PriceVolume(price=26.827, volume=1.54), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:39')
ArbitrageEntry(bid=PriceVolume(price=26.8271, volume=1.54), ask=PriceVolume(price=26.827, volume=1.54), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:39')
ArbitrageEntry(bid=PriceVolume(price=26.8271, volume=1.54), ask=PriceVolume(price=26.827, volume=1.54), bidExchangeID='LINKUSDT.HB', askExchangeID='LINKUSDT.BNC', timestamp='2021-08-20 00:07:39')
